,Cycle,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,G5,G6,H1,H2,H3,H4,H5,H6
,11,0.466912401912088,0.392020350801676,0.386654444677506,5.28336401512525,6.03839342662258,6.27146443826891,0.321555013125433,0.294888921675817,0.286520695238432,3.45230238221709,3.57698758169695,2.86182760381626,0.358394910204702,0.234626486169989,0.237942380174049,1.86091154724355,1.75073552824588,1.86740300008606,0.30131704364862,0.220593258556576,0.231430524992664,0.88107185242707,0.868007328698132,1.04703808879075,0.224516586576122,0.218264617707958,0.212557849843098,0.507573034124814,0.549590744649425,0.47341309353119,0.182036836634836,0.166461530319788,0.156185979451477,0.292488158113485,0.28748534104405,0.267711869874364,0.156460513824304,0.126364458886069,0.147443844880261,0.176531587194825,0.188014871846038,0.18423522580285,0.151659215978661,0.120850963195445,0.130359956213246,0.138808614972615,0.148090005143298,0.159571972886862
,12,0.467607444769732,0.392794197600694,0.387336424487649,5.28046916916009,6.04057649042875,6.27088679556417,0.321955253079214,0.295231006970596,0.286765600903456,3.45565199256709,3.58023200886033,2.86357535872394,0.359086270315292,0.234995246537216,0.238194482655606,1.86175252202657,1.75247895042948,1.86904248094882,0.304802895725284,0.220911711158438,0.232418045011415,0.883028324587439,0.869787313859271,1.04849563693402,0.224435039624149,0.218613135920638,0.212601040911436,0.507375706484361,0.549591370714458,0.474550921204585,0.18316859677495,0.167119278311936,0.155589545311601,0.292738345656418,0.287805336455369,0.267547866576608,0.157536319308121,0.126760483019688,0.14700017467617,0.177585314232322,0.187395302078162,0.18480279568879,0.153142356873116,0.119887305260636,0.129424849909945,0.138205190376075,0.14840637454254,0.160200888858799
,13,0.467374957023579,0.39237396916575,0.387730986592999,5.28247787356681,6.04252496382948,6.26979534399266,0.320978405810826,0.295685045293318,0.28639717161822,3.45405357444036,3.57967688516945,2.86082385549998,0.358022923405641,0.23484486811445,0.237617676707552,1.86155612984204,1.75296177507639,1.86887500229276,0.303046547776851,0.220035302820214,0.231862635687684,0.882767267126732,0.870169349377098,1.04810618570858,0.225812180064755,0.218789491725072,0.213179291318319,0.507065498168992,0.550607683780065,0.474163971122238,0.18361120343259,0.167193265292634,0.156317765836643,0.292614384564422,0.288128459622619,0.268198247065647,0.155551439280098,0.127005997240716,0.14706140731152,0.177910697216809,0.188620240700552,0.185030451913648,0.152735027127527,0.120217128847155,0.131099315589056,0.138481129643634,0.148184353400707,0.160528032153295
,14,0.466760054159248,0.39228054936021,0.387999774932908,5.28756397806077,6.04967256772522,6.27093186275275,0.323534596166902,0.294930660379212,0.287815604360513,3.45589811487968,3.57981745937955,2.86311657751,0.35765145850532,0.235548197952748,0.237909336593746,1.86091761893729,1.75167169941539,1.87090600058872,0.304117166036352,0.219849837502713,0.231692967787283,0.882349089167609,0.868964790475678,1.04943065493172,0.225256727367168,0.219315242402537,0.21351312078696,0.509053620479342,0.549456028270794,0.474607116633578,0.183213774217779,0.166956865202189,0.156646861596473,0.293755097269698,0.288129303618059,0.268451502056417,0.157436195109171,0.127006657194419,0.147591175244238,0.177340387016545,0.187397148017163,0.184168513659371,0.153434406840457,0.119944973768246,0.130069678610676,0.138918319965305,0.148537995300649,0.16086245224517
,15,0.467109631816526,0.393022642723734,0.387128608819585,5.28412397202582,6.04572621106474,6.27060746428515,0.320854141503044,0.294820892121265,0.285969348302775,3.45564753253596,3.58166882348648,2.86249864613289,0.357465462707522,0.234812393200403,0.238197385588967,1.86403209846711,1.75318920954287,1.86985722166809,0.303956705688141,0.220779768727865,0.230965973244769,0.882134094663131,0.868635985061768,1.04749615679014,0.225873605390513,0.219490322437216,0.212680536669621,0.508772444147523,0.552290782831795,0.475902846701767,0.183655466701324,0.166956946567466,0.155856006611255,0.293752243086285,0.287486214121486,0.268523620329482,0.156388067037446,0.126731538577529,0.14729780614569,0.17696459190073,0.187463151833211,0.1847589139231,0.152238383346932,0.120065326916908,0.129488493801684,0.138700033856746,0.148254620538847,0.160327814971704
,16,0.467064094523377,0.391561181724008,0.388054794145273,5.28625160343286,6.04668176765406,6.27045203296624,0.323658382992617,0.294778323289574,0.287166132516473,3.45815370770076,3.58176998091294,2.86278215548388,0.35759851667651,0.234663459002044,0.238048401694279,1.86584871101558,1.75546461695491,1.87257764254297,0.303368309000471,0.220592599664599,0.23232696617809,0.882937258493221,0.870170030928133,1.04871654584832,0.226305844116212,0.218863867480109,0.213633329035439,0.508503988487691,0.5506607886372,0.474801017340751,0.183330717082319,0.166790112223128,0.155357225873635,0.293370448985866,0.287732662069207,0.268404244741087,0.156591238623433,0.127554231975197,0.147296290832109,0.176963042339386,0.187027423188889,0.184552511244794,0.152380424174749,0.120216124077399,0.130517514153519,0.13913539321353,0.148243111714589,0.159833577060906
,17,0.466718995360478,0.391633427777075,0.387726543868465,5.28752638555071,6.04621485954647,6.26762312331582,0.321430615042504,0.29445011613243,0.286856412890534,3.46046523200206,3.58233315973791,2.86256338388017,0.358261044304074,0.234997311717856,0.237728612898524,1.86386145576532,1.7540465108353,1.87115567626605,0.303956833761052,0.219849805109343,0.231647183341415,0.882179580116838,0.870935285028152,1.04983417429571,0.224845494563795,0.218215394267987,0.212725057902919,0.507078407916772,0.55052568084467,0.475380133811408,0.182846399289646,0.166910594613602,0.15592322964914,0.293405514302523,0.288165844139809,0.268658652475629,0.15656388795712,0.126640148630656,0.146944250533442,0.177206462521253,0.187291767308299,0.183804468292182,0.151740327607576,0.119769289828981,0.129812228894453,0.138699943708712,0.148512757528333,0.160169363489834
,18,0.46644937132978,0.392537785763601,0.388323686067253,5.29073837919093,6.05245615079136,6.26731984310489,0.322256176876781,0.295383024803595,0.287196615701816,3.46040475070518,3.58124777353729,2.8607144598225,0.357650825760073,0.234075504819578,0.239850452384087,1.86551539588233,1.75470537842381,1.87201313912766,0.303822866737835,0.219186330247663,0.231816812004689,0.882982272159288,0.870415512069832,1.04935401071807,0.224311003183673,0.21956470582686,0.212391288439075,0.508348911706396,0.550204579006442,0.474550415840321,0.183978478324305,0.167615282211043,0.156250276106859,0.293371849924288,0.288270836004966,0.268477394327759,0.156423677799814,0.126852894768932,0.147650557497121,0.177288012153928,0.187830616411498,0.184280963697643,0.152774978928502,0.120304874298825,0.130808602651271,0.139410919245702,0.149182685497577,0.16108926605332
,19,0.467302361464022,0.392572368164899,0.388711056407838,5.29027777027934,6.05186629487346,6.26609520409963,0.322306715156837,0.295273197240411,0.286608133316404,3.45818126269231,3.57814017722635,2.85947090984845,0.358208758081858,0.23451708620868,0.238159498607216,1.86355269660037,1.75346469633704,1.87062805527696,0.304480685109088,0.220593165183244,0.230499899121515,0.882055869024627,0.870524517336047,1.04987696915533,0.223406503558719,0.217389439196897,0.212679606303395,0.508080553639216,0.550017488189366,0.475130178650046,0.183816654926673,0.166250424474247,0.157304905714738,0.293436484640577,0.287737472088739,0.266946125645997,0.157508561572264,0.126639446692236,0.147090191243869,0.176907321185828,0.185909754183199,0.184712227348822,0.151723373273141,0.119791445640729,0.130197981037401,0.138699334606748,0.14740951506081,0.15996647441117
,20,0.467066769187806,0.391856470067385,0.387634670805904,5.28812747855185,6.04825147380709,6.26761010210636,0.322832834552096,0.296481363215827,0.287073342750445,3.45940000881809,3.58334273011236,2.86161752148067,0.357278900383414,0.234664467996032,0.238662253682929,1.86504404529265,1.75627258960716,1.87413285491,0.303367208227773,0.220540734437903,0.231816974690932,0.882179877894935,0.870907649537251,1.05070405055834,0.224516567556504,0.219139586881077,0.213057487200445,0.507967413977196,0.550338866705505,0.475266313050504,0.182316806972647,0.166909892656853,0.156646022140755,0.292867086470519,0.287558578094548,0.267594840695329,0.156174584564645,0.126730896533418,0.146561307560537,0.176773593063235,0.18746251945865,0.184871470670155,0.153577988890493,0.119430816301102,0.130036173582552,0.138808650941905,0.148795486375787,0.161282820082151
